0x002E0A8C,0x02C13D48
0x002DD4A1,0x02C26C8F
0x802D9E66,0x02C39C32
0x802D67DC,0x02C4CC31
0x002D3103,0x02C5FC8C
0x002CF9DA,0x02C72D43
0x002CC262,0x02C85E55
0x802C8A9A,0x02C98FC3
0x802C5283,0x02CAC18C
0x002C1A1D,0x02CBF3B0
0x002BE167,0x02CD262F
0x002BA862,0x02CE5908
0x802B6F0D,0x02CF8C3B
0x802B3569,0x02D0BFC9
0x002AFB76,0x02D1F3B1
0x002AC133,0x02D327F2
0x802A86A1,0x02D45C8D
0x802A4BBF,0x02D59181
0x802A108E,0x02D6C6CE
0x0029D50E,0x02D7FC74
0x0029993E,0x02D93272
0x80295D1F,0x02DA68C9
0x802920B1,0x02DB9F78
0x0028E3F3,0x02DCD67F
0x0028A6E6,0x02DE0DDE
0x0028698A,0x02DF4594
0x80282BDE,0x02E07DA1
0x8027EDE3,0x02E1B605
0x0027AF99,0x02E2EEC0
0x00277100,0x02E427D2
0x00273217,0x02E5613A
0x8026F2DF,0x02E69AF8
0x8026B358,0x02E7D50C
0x00267382,0x02E90F76
0x0026335D,0x02EA4A35
0x0025F2E9,0x02EB8549
0x8025B226,0x02ECC0B2
0x80257114,0x02EDFC6F
0x00252FB3,0x02EF3881
0x0024EE02,0x02F074E7
0x8024AC03,0x02F1B1A1
0x802469B5,0x02F2EEAE
0x80242718,0x02F42C0F
0x0023E42C,0x02F569C3
0x0023A0F1,0x02F6A7C9
0x80235D67,0x02F7E622
0x8023198E,0x02F924CD
0x0022D566,0x02FA63CA
0x002290F0,0x02FBA319
0x00224C2B,0x02FCE2B9
0x80220717,0x02FE22AB
0x8021C1B5,0x02FF62ED
0x00217C04,0x0300A380
0x00213605,0x0301E463
0x0020EFB7,0x03032597
0x8020A91B,0x0304671A
0x80206230,0x0305A8ED
0x00201AF7,0x0306EB0F
0x001FD370,0x03082D80
0x001F8B9A,0x03097040
0x801F4376,0x030AB34E
0x801EFB04,0x030BF6AA
0x001EB244,0x030D3A54
0x001E6936,0x030E7E4B
0x001E1FDA,0x030FC290
0x801DD630,0x03110721
0x801D8C38,0x03124BFF
0x001D41F2,0x03139129
0x001CF75E,0x0314D69F
0x801CAC7C,0x03161C61
0x801C614D,0x0317626E
0x801C15D0,0x0318A8C6
0x001BCA06,0x0319EF69
0x001B7DEE,0x031B3657
0x801B3189,0x031C7D8F
0x801AE4D6,0x031DC510
0x001A97D6,0x031F0CDB
0x001A4A89,0x032054EF
0x0019FCEE,0x03219D4C
0x8019AF06,0x0322E5F1
0x801960D1,0x03242EDF
0x0019124F,0x03257814
0x0018C380,0x0326C191
0x00187464,0x03280B55
0x801824FC,0x03295560
0x8017D547,0x032A9FB2
0x00178545,0x032BEA4A
0x001734F7,0x032D3528
0x0016E45C,0x032E804B
0x80169375,0x032FCBB3
0x80164241,0x03311760
0x0015F0C1,0x03326352
0x00159EF5,0x0333AF88
0x80154CDD,0x0334FC02
0x8014FA79,0x033648BF
0x8014A7C9,0x033795BF
0x001454CD,0x0338E302
0x00140185,0x033A3087
0x8013ADF1,0x033B7E4E
0x80135A12,0x033CCC57
0x801305E7,0x033E1AA2
0x0012B171,0x033F692D
0x00125CB0,0x0340B7F9
0x801207A3,0x03420705
0x8011B24B,0x03435651
0x00115CA8,0x0344A5DD
0x001106BA,0x0345F5A8
0x0010B081,0x034745B2
0x801059FE,0x034895FA
0x80100330,0x0349E680
0x000FAC17,0x034B3744
0x000F54B4,0x034C8845
0x000EFD06,0x034DD983
0x800EA50E,0x034F2AFD
0x800E4CCC,0x03507CB3
0x000DF440,0x0351CEA5
0x000D9B6A,0x035320D3
0x000D424A,0x0354733C
0x800CE8E0,0x0355C5DF
0x800C8F2D,0x035718BC
0x000C3530,0x03586BD3
0x000BDAEA,0x0359BF23
0x800B805A,0x035B12AC
0x800B2581,0x035C666E
0x800ACA5F,0x035DBA68
0x000A6EF4,0x035F0E9A
0x000A1340,0x03606304
0x8009B743,0x0361B7A5
